step,i_a,dt_c,k,tau_s,excited
29,342.039519424,18.276642516,2.080791275794e-04,988.014253524,1
30,338.581929877,18.606947623,2.069423185706e-04,978.284092910,1
31,334.530911230,18.885595952,2.059751500273e-04,969.844479814,1
32,329.903810568,19.111101594,2.051500456928e-04,962.501569743,1
33,324.720441845,19.282408150,2.044444390890e-04,956.095259031,1
34,319.003001044,19.398899620,2.038397305403e-04,950.492261834,1
35,312.775971122,19.460405533,2.033204956077e-04,945.580859022,1
36,306.066017178,19.467200264,2.028738757327e-04,941.266856615,1
37,298.901872265,19.419996608,2.024891030323e-04,937.470432724,1
38,291.314214351,19.319933712,2.021571253381e-04,934.123646755,1
39,283.335534953,19.168559615,2.018703072068e-04,931.168449166,1
40,275.000000000,18.967808689,2.016221892710e-04,928.555074653,1
41,266.343303533,18.719974371,2.014072929432e-04,926.240732786,1
42,257.402514855,18.427677626,2.012209607811e-04,924.188532161,1
43,248.215919795,18.093831682,2.010592251836e-04,922.366589959,1
44,238.822856765,17.721603596,2.009186998023e-04,920.747290196,1
45,229.263548302,17.314373274,2.007964893184e-04,919.306662376,1
46,219.578928833,16.875690602,2.006901141776e-04,918.023858447,1
47,209.810469385,16.409231366,2.005974475835e-04,916.880710625,1
48,200.000000000,15.918752652,2.005166625941e-04,915.861356212,1
49,190.189530615,15.408048418,2.004461875854e-04,914.951918226,1
50,180.421071167,14.880905931,2.003846686730e-04,914.140232803,1
51,170.736451698,14.341063709,2.003309379394e-04,913.415615961,1
52,161.177143235,13.792171622,2.002839865231e-04,912.768663675,1
53,151.784080205,13.237753722,2.002429417883e-04,912.191080223,1
54,142.597485145,12.681174338,2.002070479287e-04,911.675530658,1
55,133.656696467,12.125607917,2.001756494675e-04,911.215513934,1
56,125.000000000,11.574012999,2.001481772041e-04,910.805253776,1
57,116.664465047,11.029110677,2.001241362322e-04,910.439604869,1
58,108.685785649,10.493367770,2.001030957131e-04,910.113972291,1
59,101.098127735,9.968984883,2.000846801400e-04,909.824242437,1
60,93.933982822,9.457889438,2.000685618677e-04,909.566723940,1
61,87.224028878,8.961733658,2.000544547203e-04,909.338097255,1
62,80.996998956,8.481897409,2.000421085146e-04,909.135371780,1
63,75.279558155,8.019495736,2.000313043653e-04,908.955849472,1
64,70.096189432,7.575390814,2.000218506529e-04,908.797094039,1
65,65.469088770,7.150207994,2.000135795590e-04,908.656904863,1
66,61.418070123,6.744355536,2.000063440810e-04,908.533294891,1
67,57.960480576,6.358047557,2.000000154574e-04,908.424471781,1
68,55.111126057,5.991329691,1.999944809392e-04,908.328821670,1
69,52.882207940,5.644106879,1.999896418575e-04,908.244894988,1
70,51.283270794,5.316172713,1.999854119403e-04,908.171393813,1
71,50.321161514,5.007239696,1.999817158433e-04,908.107160342,1
72,50.000000000,4.716969802,1.999784878613e-04,908.051166102,1
73,50.321161514,4.445004706,1.999756707958e-04,908.002501613,1
74,51.283270794,4.190995042,1.999732149565e-04,907.960366264,1
75,52.882207940,3.954628125,1.999710772814e-04,907.924058207,1
76,55.111126057,3.735653537,1.999692205628e-04,907.892964143,1
77,57.960480576,3.533906082,1.999676127696e-04,907.866548853,1
78,61.418070123,3.349325614,1.999662264630e-04,907.844344404,1
79,65.469088770,3.181973351,1.999650383015e-04,907.825938922,1
80,70.096189432,3.032044309,1.999640286366e-04,907.810964881,1
81,75.279558155,2.899875603,1.999631812027e-04,907.799086861,1
82,80.996998956,2.785950419,1.999624829041e-04,907.789988745,1
83,87.224028878,2.690897540,1.999619237044e-04,907.783360420,1
84,93.933982822,2.615486419,1.999614966227e-04,907.778884088,1
85,101.098127735,2.560617839,1.999611978369e-04,907.776220395,1
86,108.685785649,2.527310321,1.999610268942e-04,907.774994767,1
87,116.664465047,2.516682497,1.999609870189e-04,907.774784429,1
88,125.000000000,2.529931747,1.999610855031e-04,907.775106832,1
89,133.656696467,2.568309493,1.999613341530e-04,907.775410366,1
90,142.597485145,2.633093565,1.999617497533e-04,907.775068435,1
91,151.784080205,2.725558168,1.999623544959e-04,907.773378130,1
92,161.177143235,2.846941969,1.999631763079e-04,907.769564800,1
93,170.736451698,2.998414929,1.999642489983e-04,907.762793795,1
94,180.421071167,3.181044460,1.999656121361e-04,907.752190428,1
95,190.189530615,3.395761579,1.999673105710e-04,907.736868790,1
96,200.000000000,3.643327686,1.999693935158e-04,907.715969320,1
97,209.810469385,3.924302619,1.999719131374e-04,907.688704132,1
98,219.578928833,4.239014601,1.999749226384e-04,907.654407915,1
99,229.263548302,4.587532700,1.999784738694e-04,907.612591036,1
100,238.822856765,4.969642348,1.999826145757e-04,907.562990392,1
101,248.215919795,5.384824453,1.999873854469e-04,907.505612820,1
102,257.402514855,5.832238561,1.999928171942e-04,907.440765831,1
103,266.343303533,6.310710457,1.999989279110e-04,907.369071043,1
104,275.000000000,6.818724555,2.000057209658e-04,907.291457228,1
105,283.335534953,7.354421301,2.000131836378e-04,907.209131981,1
106,291.314214351,7.915599775,2.000212866219e-04,907.123533472,1
107,298.901872265,8.499725557,2.000299844299e-04,907.036266052,1
108,306.066017178,9.103943865,2.000392166097e-04,906.949025285,1
109,312.775971122,9.725097859,2.000489096080e-04,906.863518822,1
110,319.003001044,10.359751934,2.000589790471e-04,906.781389525,1
111,324.720441845,11.004219734,2.000693321613e-04,906.704146223,1
112,329.903810568,11.654596534,2.000798701585e-04,906.633105981,1
113,334.530911230,12.306795582,2.000904903213e-04,906.569349921,1
114,338.581929877,12.956587895,2.001010877293e-04,906.513692947,1
115,342.039519424,13.599644958,2.001115565582e-04,906.466666369,1
116,344.888873943,14.231583738,2.001217909797e-04,906.428511539,1
117,347.117792060,14.848013350,2.001316857396e-04,906.399182305,1
118,348.716729206,15.444582701,2.001411365344e-04,906.378354117,1
119,349.678838486,16.017028425,2.001500403264e-04,906.365438076,1
120,350.000000000,16.561222394,2.001582957455e-04,906.359598799,1
121,349.678838486,17.073218097,2.001658037202e-04,906.359775645,1
122,348.716729206,17.549295209,2.001724684568e-04,906.364707430,1
123,347.117792060,17.986001678,2.001781988579e-04,906.372961270,1
124,344.888873943,18.380192701,2.001829104234e-04,906.382966390,1
125,342.039519424,18.729066012,2.001865276225e-04,906.393053743,1
126,338.581929877,19.030192964,2.001889866622e-04,906.401501962,1
127,334.530911230,19.281544925,2.001902385038e-04,906.406589534,1
128,329.903810568,19.481514623,2.001902519168e-04,906.406652233,1
129,324.720441845,19.628932126,2.001890162991e-04,906.400143818,1
130,319.003001044,19.723075221,2.001865439626e-04,906.385696987,1
131,312.775971122,19.763674071,2.001828715844e-04,906.362180732,1
132,306.066017178,19.750910101,2.001780605665e-04,906.328749751,1
133,298.901872265,19.685409142,2.001721961309e-04,906.284881693,1
134,291.314214351,19.568228991,2.001653850960e-04,906.230398620,1
135,283.335534953,19.400841582,2.001577524190e-04,906.165470398,1
136,275.000000000,19.185110093,2.001494367228e-04,906.090599362,1
137,266.343303533,18.923261352,2.001405851384e-04,906.006587461,1
138,257.402514855,18.617854016,2.001313478592e-04,905.914488783,1
139,248.215919795,18.271743023,2.001218728206e-04,905.815551677,1
140,238.822856765,17.888040898,2.001123008771e-04,905.711155358,1
141,229.263548302,17.470076533,2.001027617710e-04,905.602745964,1
142,219.578928833,17.021352089,2.000933710774e-04,905.491776484,1
143,209.810469385,16.545498704,2.000842282015e-04,905.379653992,1
144,200.000000000,16.046231698,2.000754153968e-04,905.267696474,1
145,190.189530615,15.527305957,2.000669976969e-04,905.157100286,1
146,180.421071167,14.992472191,2.000590235986e-04,905.048918266,1
147,170.736451698,14.445434725,2.000515263102e-04,904.944047648,1
148,161.177143235,13.889811436,2.000445253808e-04,904.843226446,1
149,151.784080205,13.329096450,2.000380285379e-04,904.747036652,1
150,142.597485145,12.766626099,2.000320335945e-04,904.655912571,1
151,133.656696467,12.205548636,2.000265303138e-04,904.570152706,1
152,125.000000000,11.648798100,2.000215021547e-04,904.489933836,1
153,116.664465047,11.099072662,2.000169278477e-04,904.415326145,1
154,108.685785649,10.558817695,2.000127827753e-04,904.346308577,1
155,101.098127735,10.030213745,2.000090401505e-04,904.282783764,1
156,93.933982822,9.515169467,2.000056719964e-04,904.224592142,1
157,87.224028878,9.015319524,2.000026499430e-04,904.171524974,1
158,80.996998956,8.532027362,1.999999458586e-04,904.123336182,1
159,75.279558155,8.066392657,1.999975323367e-04,904.079752903,1
160,70.096189432,7.619263211,1.999953830596e-04,904.040484811,1
161,65.469088770,7.191250928,1.999934730585e-04,904.005232225,1
162,61.418070123,6.782751487,1.999917788889e-04,903.973693065,1
163,57.960480576,6.393967237,1.999902787356e-04,903.945568733,1
164,55.111126057,6.024932803,1.999889524635e-04,903.920568958,1
165,52.882207940,5.675542825,1.999877816234e-04,903.898415704,1
166,51.283270794,5.345581260,1.999867494253e-04,903.878846178,1
167,50.321161514,5.034751597,1.999858406846e-04,903.861615007,1
168,50.000000000,4.742707378,1.999850417503e-04,903.846495669,1
169,50.321161514,4.469082388,1.999843404197e-04,903.833281204,1
170,51.283270794,4.213519882,1.999837258448e-04,903.821784310,1
171,52.882207940,3.975700270,1.999831884345e-04,903.811836851,1
172,55.111126057,3.755366676,1.999827197564e-04,903.803288854,1
173,57.960480576,3.552347861,1.999823124418e-04,903.796007044,1
174,61.418070123,3.366578027,1.999819600967e-04,903.789872953,1
175,65.469088770,3.198113104,1.999816572224e-04,903.784780651,1
176,70.096189432,3.047143160,1.999813991492e-04,903.780634128,1
177,75.279558155,2.914000684,1.999811819848e-04,903.777344353,1
178,80.996998956,2.799164531,1.999810025827e-04,903.774826049,1
179,87.224028878,2.703259434,1.999808585314e-04,903.772994227,1
180,93.933982822,2.627051057,1.999807481675e-04,903.771760525,1
181,101.098127735,2.571436639,1.999806706146e-04,903.771029452,1
182,108.685785649,2.537431384,1.999806258473e-04,903.770694632,1
183,116.664465047,2.526150822,1.999806147814e-04,903.770635215,1
184,125.000000000,2.538789431,1.999806393846e-04,903.770712631,1
185,133.656696467,2.576595918,1.999807028050e-04,903.770767932,1
186,142.597485145,2.640845574,1.999808095080e-04,903.770619992,1
187,151.784080205,2.732810226,1.999809654107e-04,903.770064868,1
188,161.177143235,2.853726321,1.999811779997e-04,903.768876630,1
189,170.736451698,3.004761737,1.999814564155e-04,903.766809974,1
190,180.421071167,3.186981943,1.999818114831e-04,903.763604868,1
191,190.189530615,3.401316136,1.999822556697e-04,903.758993392,1
192,200.000000000,3.648524013,1.999828029482e-04,903.752708818,1
193,209.810469385,3.929163819,1.999834685502e-04,903.744496764,1
194,219.578928833,4.243562288,1.999842685975e-04,903.734128057,1
195,229.263548302,4.591787092,1.999852196088e-04,903.721412674,1
196,238.822856765,4.973622362,1.999863378903e-04,903.706213920,1
197,248.215919795,5.388547784,1.999876388312e-04,903.688461763,1
198,257.402514855,5.835721763,1.999891361383e-04,903.668164185,1
199,266.343303533,6.313969017,1.999908410539e-04,903.645415366,1
200,275.000000000,6.821772960,1.999927616105e-04,903.620399707,1
201,283.335534953,7.357273106,1.999949019743e-04,903.593390958,1
202,291.314214351,7.918267658,1.999972619281e-04,903.564746152,1
203,298.901872265,8.502221380,1.999998365301e-04,903.534894503,1
204,306.066017178,9.106278725,2.000026159696e-04,903.504321908,1
205,312.775971122,9.727282137,2.000055856231e-04,903.473552076,1
206,319.003001044,10.361795342,2.000087262935e-04,903.443125605,1
207,324.720441845,11.006131356,2.000120145998e-04,903.413578386,1
208,329.903810568,11.656384869,2.000154234777e-04,903.385420691,1
209,334.530911230,12.308468583,2.000189227419e-04,903.359118060,1
210,338.581929877,12.958152998,2.000224796699e-04,903.335074837,1
211,342.039519424,13.601109123,2.000260595691e-04,903.313620847,1
212,344.888873943,14.232953475,2.000296263057e-04,903.295001411,1
213,347.117792060,14.849294749,2.000331427818e-04,903.279370638,1
214,348.716729206,15.445781458,2.000365713633e-04,903.266787748,1
215,349.678838486,16.018149871,2.000398742720e-04,903.257216129,1
216,350.000000000,16.562271514,2.000430139595e-04,903.250524783,1
217,349.678838486,17.074199556,2.000459534925e-04,903.246491922,1
218,348.716729206,17.550213371,2.000486569716e-04,903.244810519,1
219,347.117792060,17.986860625,2.000510900112e-04,903.245095764,1
220,344.888873943,18.380996252,2.000532202951e-04,903.246894436,1
221,342.039519424,18.729817740,2.000550182179e-04,903.249696248,1
222,338.581929877,19.030896211,2.000564576053e-04,903.252947249,1
223,334.530911230,19.282202817,2.000575164961e-04,903.256065247,1
224,329.903810568,19.482130086,2.000581779488e-04,903.258457128,1
225,324.720441845,19.629507896,2.000584308266e-04,903.259537707,1
226,319.003001044,19.723613857,2.000582704971e-04,903.258749553,1
227,312.775971122,19.764177969,2.000576993828e-04,903.255582963,1
228,306.066017178,19.751381501,2.000567272948e-04,903.249595076,1
229,298.901872265,19.685850140,2.000553714935e-04,903.240426983,1
230,291.314214351,19.568641548,2.000536564367e-04,903.227817668,1
231,283.335534953,19.401227532,2.000516132007e-04,903.211613766,1
232,275.000000000,19.185471152,2.000492785886e-04,903.191774341,1
233,266.343303533,18.923599125,2.000466939689e-04,903.168370295,1
234,257.402514855,18.618170005,2.000439039139e-04,903.141578436,1
235,248.215919795,18.272038633,2.000409547257e-04,903.111670676,1
236,238.822856765,17.888317444,2.000378929449e-04,903.078999253,1
237,229.263548302,17.470335243,2.000347639356e-04,903.043979101,1
238,219.578928833,17.021594114,2.000316106277e-04,903.007068696,1
239,209.810469385,16.545725120,2.000284724769e-04,902.968750657,1
